"","x"
"(Intercept)",-2.64475294728251
"poly(k, 2, raw = TRUE)1",0.245914300294418
"poly(k, 2, raw = TRUE)2",-0.021850663471447
"age_c",-0.0523368677554016
"sex",0.0295310311376119
"comorbidity",-0.0476228100600836
